Name,AveragePay
Casual (cep),26769.64
Nurse Anesthetist (title 38),152391.91
Writing And Editing,95338.56
Biological Science Student Trainee,31204.02
Supply Program Management,81404.31
Industrial Hygiene,92286.08
Logistics Management,91883.14
Architecture,107406.54
Security Clerical And Assistance,42420.55
Operations Research,114807.57
Equal Opportunity Investigation,83521.76
Automotive Mechanic,58208.45
Gen Clk,56623.73
Psedataconvoper,30085
High Voltage Electrician,84914.14
Dstrb Wndw&mkup Clk,55595.95
Physical Science Technician,55740.03
Data Conv Opr,42146.43
Physics,129044.74
Technical Information Services,85294.84
Social Services Aid And Assistant,42528.91
Rehabilitation Therapy Assistant,47773.84
Oper Supp Spec,71250.61
Voucher Examining,43521.53
Podiatrist,104293.45
Transportation Operations,79660.53
Financial Management,127035.13
Appraising,91152.41
Cust Care Agt Tier2,55012.01
Pipefitting,59695.06
Bioengineering & Biomedical Engineering,92722.38
Carpentry,55244.41
Recreation Specialist,61544.57
Trade Specialist,107785.7
Librarian,94375.11
Painting,55262.21
Laundry Working,31344.17
Investigative Analysis,71885.99
Customs And Border Protection Interdictn,102330.38
Nuclear Engineering,132740.99
Mgr Customer Svcs,79382.86
Misc General Maintenance & Operations Wo,64056.34
Cust Care Agt Tier1,56073.33
Bulk Ml Clk,57664.6
Cemetery Caretaking,43397.2
Psychology Aid And Technician,50652.71
Grp Ldr Ml Handler,56125.7
Construction Analyst,62698.66
Pharmacology,122361.85
Data Transcriber,35847.78
Area Maint Tech,61273.28
Transportation Clerk And Assistant,43265.46
Audiovisual Production,93263.26
Pse Tract Trail Op,40394.81
Health System Administration,125173.38
Wildlife Refuge Management,86869.72
Medical Records Administration,72592.37
Geography,86579.43
Tax Law Specialist,95600.64
Education Program,105387.21
Quality Assurance,89417.83
Museum Specialist And Technician,69076.15
Bulk Mail Dock Clk,56129.08
Mail Handler Tech,56053.95
Procurement Clerical And Technician,46373.06
Sales Store Clerical,21400.68
Cash Processing,40450.55
Ops Prog Spec,68699.25
Technical Writing And Editing,91188.81
Entomology,103736.89
Cartography,88906.95
Customs Entry And Liquidating,79011.5
Telephone Operating,34076.76
Animal Health Technician,50262.25
Boiler Plant Operating,57461.05
Motor Carrier Safety,72338.61
Materials Engineering,116879.57
Technical Systems Program Manager,143399.96
Fire Protection And Prevention,53242.39
Railroad Safety,92318.76
General Supply,73399.8
Construction Control Technical,74716.94
Mgr Customer Srvcs,78030.59
Engineering And Architecture Student Trn,37767.4
Mgr Dist Opers,75464.61
General Student Trainee,31666.54
Budget Clerical And Assistance,46897.07
Equipment Services,79017.77
Bldg Mnt Custodian,55503.55
Pm Relief Ptpo 6 Hr,25578.97
Agricultural Marketing,97910.93
Public Utilities Specialist,98796.15
Dental Hygiene,58002.58
Genetics,107446.18
Health Physics,116253.83
Economics Assistant,43780.95
Toxicology,116304.05
Outdoor Recreation Planning,78174.46
Printing Services,95064.4
"Equipment, Facilities, & Services Assist",49784.86
Prosthetic Representative,71057.29
Railroad Retirement Claims Examining,68526.01
Archivist,87789.03
Physical Science Student Trainee,34323.55
Information Receptionist,34719.32
Gardening,50906.2
Instructional Systems,100419.53
