Name,AveragePay
Fac Contr Spec,67976.22
Mkt Spec,76580.33
Pseadminclerkvmf,32010
Shipwright,62037.33
Instrument Making,71834.44
Sales Ops&plan Sr,42898
Sr Field Acct Rep,72843.78
Trans Coord Nte,72770.44
Financl Economist,24574.11
Bus Systms Engineer,35009.33
Cont Sales Analyst,66415.33
Comp Sys Anl Prg Sr,94588.22
Boatswain,58757.5
Master-mate (fishing Vessel),85051.63
Aircraft Engine Mechanic,53912.5
Equipmt And Facilities Mgmt Student Tra,41149
Lbr Rel Spec,84072.13
Internat Sales Rep,72228.25
Bsn Mlr Supp Analys,80077.75
Envrn Comp/rsk Spec,80894
Budget Specialist,68737.13
Mgr Bus Alliances,30244.5
Real Estate Spec Im,76948.86
Boatswain's Mate,45931
Research Laboratory Mechanic,59970.75
Supv Training Nced,90100.63
Pse Supl Ctr Clrk,32010
Adr Mgmt Supt Anlt,18675
Mgr Actg Ctr Ops(a),38004.5
Sales Ops&plan,66098.5
Cust Care Spt Spec,75027.25
Mng Cnsl (field),73548
Integr & Supp Spec,73634.38
Inst Design Spec,61345.63
Sr Litigation Cnsl,45972.38
Industrial Engineering Technical,57659.71
Mgr Budget (area),24230
Mgmt Analyst (acs),86054.29
Sys Anlyst(min/mic),6973.86
Area Ret Equip Coor,78895.14
Writer/editor,72539.29
Asc Accountant,55592
It Sol Architect,17984
Sap Configurer,67945
Mgr Acctg (area),58469
Cons Relations Spec,68472.14
Mgr Cons Ind Conct,21082.29
Public Rltns Rep Sr,35134.14
Mgr Natl Prep Area,79006.57
Sr Major Acct Mail,54064.57
Automotive Painter,59245
Mgr Deliv Prog Supp,21921.86
Sr Legal Admin Asst,60434.43
Product Dev Spec,81304.57
Electromotive Equipment Mechanic,59168.86
Battery Repairing,45667.71
Preservation Servicing,48591.43
Oiler,37936.86
Purch & Sm Trainee,56178.57
Telephone Operator,46041.29
Marketing Specialst,52314.14
Office Clerk,56067.29
Maint Software Spec,77440.29
Supv Maint (hq),61155.57
Lrndeve&dvrstyspec,77557.71
Mgr Sb Dev & Ml Acc,40358.29
City Delivery Spec,68429.86
Inj Comp Spec,79465
Stamp Dist Clrk-sdn,57987
Pvs Ops Analyst,86632.86
Operation Suprt Spc,76829
Mgr Lbr Rltns (area,36352.29
Financial Sys Spclt,67358.71
Area Comp Coord,50635.57
Mgr Corp Com Ctr,44970.43
Mgr Maint Ops-area,46445.71
Eeo Litigation Adv,77986.43
Sr Accountant,36366.33
Sr Med Dir (area),42211.14
Bus Sys Analyst Sr,64214.71
Lead Ops Ind Engr,66983.29
Sustn Proj Integ,33625.57
Ops Indtrl Engn Trn,67166.67
Retail Mgmt Spec,53886
Asset Mgmt Proc An,75753.5
Supv Cust Suppt,72889.33
Sign Painter-illstr,57987
Vp Area Operations,3700
Controller (area),48126
Sr Major Acct Ship,43500.33
Financial Sys Spec,48686.5
Lan Administrator,88766.83
Eeo Systems Tech,55956.17
Ergo Spec (area),74845
Purch Supt Spec(ld),75162.5
Mgr Safety (ao),52398.83
Mgr Cust Care Ops,83055.17
It Clnt Spt Spec Gc,66849
Disability Comp Sp,88298.17
Applied Technl Plnr,60298
Drafting Clk,56990.33
Sofware Sys Eng Sr,44461.5
Ship Operating,76269.5
Chief Cook,45145
Sr Exec Admin Asst,79713.17
Data Analyst,83816.5
Labor Rel Spec Fld,22506.33
Mgr Intgr & Support,44574.83
Mgr Oper Suppt Area,81637.67
Acct/con Spc Sr (c),71725.67
Tech Integratn Spec,63432
Mgr Marketing (area,53728
Post Office Clk,56743
Tech Proj Lead,23596
Bus Eval Analyst,81618.33
Network Ops Spec,86172.17
Purchasing Spclst,70180.83
Fac Cust Rel Mgr,49388
Classification Spec,82958
Unix Systems Admin,78036.67
Internat Sales Sr,49466.83
Master Black Belt,38256.67
Injury Compnstn Spc,93644.33
Safety Analyst,69300.17
Dist Mgr (major),76753.67
Real Est Spec Asset,41336.67
Electronic Engineer,49858
Aircraft Attending,51394.4
Miscellaneous Structural & Finishing Wor,59552.4
Engine Utilityman,40616.6
Mgr Customer Servs,73403.2
Information Sys Spc,49652
Comp Prnt Ln Prd Op,57013.4
Maintence Spec,9492.4
Ohna (area),79835.6
Online Soltns Spec,24308.4
Qual Assr/con Anlst,66484.4
Asc Accountant Sr,29322.2
Mail Rewrapper,51243
Mgr Fleet Ops Reg,6074.6
Envir Spec (fac),88569.2
Eeo Support Tech,43434
Product Info Spec,23063
Unix Sys Engineer,8365.6
Bus Cut Sp Svc Spec,65149.6
Hrssc System Spec,74944.8
Lrservcentranalyst,72245.6
Op Support Spec,42788.6
Hrssc Support Spec,73787.4
Aux Rural Carrier,57057
Cons Resch Analyst,84196.6
Transfer Clk,57987
Motion Picture Projection,55159.2
Miscellaneous Painting And Paperhanging,52563.2
Patent Technician,68845.8
Theater Specialist,86941.6
Mgr New Space Mgmt,21601.8
Fin Accounting Spec,81740
Solutns Devel Spec,91000.8
Grp Ldr Warehousing,56791
Operations Perf Anl,59514.6
Mgr Ntwk Ops (area),11620.4
Laborer,53694.2
Supv Tacs Help Desk,82744.8
Inventor Cntrl Tl,52079.8
Learning Develop,67737.8
Mail&pkg Is Spec Sr,44036
Purchasing Assistnt,58410.8
Computer Systems An,65339
Real Estate Spec Le,19187.8
Procurement Clk,57030.2
Miscellaneous Personal Services,37368
Electronic Measurement Equipment Mechani,100210.75
Offset Photography,72393.67
Intl Pstl Affrs Spc,67303.75
Lr Spec Trainee,56375
Fld Staff Analyst,28455
Sftwre Sys Eng Prn,28025.75
Tech Trng Spec,92890
Dir Sales Area (3),26090.5
Ship Solution Exprt,40879.5
Asset Mgmnt Proc An,45949.5
Pricing Anlyst,30382.5
Communications Engn,75060
Maj Mail Supt Spec,82592.25
Fac Comm Tech Sr,75751.25
Comm Engineer Pr,32439.5
Hr Generalist Hq,75363.25
Business Developmen,62970.5
Ind Engmnt Spec,77684
Program Analyst,81160.75
Procr/mat Mgmt Asst,57987
Mkt Spec Sr,12070.25
Workforcemgmtanly,72751.5
Mgr Eeo Compliance,28582.5
Plant Maint Eng,72683.75
Fac Info Sys Anly,60511.25
Financ Sys Analyst,75824.5
Comp Perf Spec,82382.5
Supv Acct Helpdesk,74862.25
Field Acct Rep Tl,69674.25
Mgrcustcareopssupt,73510.25
Oprns Perfrmce Anly,71202.5
Label Printing Tech,57290
Pstl Machs Mech,57987
Org Design Clas Spc,64459.25
Comp Specialist,87896.25
Inst Design Tl,26911.25
Pse Motor Veh Op Nw,34017
Misc Wire Communca Equipmt Install & Mai,90704
Equipment Specialis,74064.75
Innv & Pro Dev Spc,43869.5
Machinst,59245
Pse Label Print Tec,32010
Multimedia Prod,47157.75
Ntwk Perf Anlst Pr,8835.25
Mail Hndlr Ldman,51754.5
"Bsa, Pr (pmnt Tech)",33433.5
Comptr Prgm/sftw Sp,62313
Communications Spcl,45005.25
Sr Payroll Acct,55916.25
Eeo Compliance Spec,82045
Travel Mgmt Spec,57071
Pse Tto Hldy Term,37345.5
Product Mgr,52305.5
Admin Srvcs Coord T,43991
Mgr Eeo Services,46712
Tacs Supt Spclst Sr,65944
Requirement Analyst,32710.75
Purch & Sm Pol Spec,63801.5
Environmental Spcls,26027.5
Tort Claim Exam,65335.25
Strategic Plan Spec,20295.75
Mgr Net Dist Ctr(3),23285.5
Sr Field Acct,87012.75
Mgr Cust Care Ctr,15962
Strat Init Proj Mgr,33598.75
Recruiter,80910.5
Mgr Surf Trans Ctr,79203
Riverboat Operating,52112.33
Master,92311
Music Specialist,79911.67
Railroad Maintenance Vehicle Operating,55618.67
Miscellaneous Plumbing And Pipefitting,66914
Dist Mgr (3),43913.67
Mgr Marketing (dist,62158.33
Maint Fld Supt Spec,40607.67
Dlvr Strat Spec Sr,67962
Sr Supply Chain Pln,42845
Audit Resp Analyst,66113.33
It Sys Spec Mob Com,36349
Pse Pack/warehsman,30085
Info Systems Coordt,59196.67
Vsblty Prg Spc Sr,35869.67
Sply Sys Catalogsr,65409.67
Admn Supp Asst,64499
Chauffeur,53635.67
Bus Anlyst Edw,13647
Cust Serv Ops Spec,85188.33
Network Perf Anlst,72378
Mobile Tech Eng Sr,78475
Mgr Rem Encod Oper,87138.67
Supv Order Proc Sfs,57791
City Deliv Spec Sr,39482.33
Disd Sys Supt Spec,64802.67
Cust Cntct Sol Spec,90574.33
Prog Training Admn,29514.67
Cptr Sys Admntr Pdc,25488
Ind Equip Mech,57987
Fld Staff Analyst S,16417.67
Change Mgt Spec,54633
Prgm Perfrmce Specl,13647
Arch/eng Trainee,66083.33
Mgr Strat Acc Ops,20777.33
Pse Clrk Mrc,32010
Qual Assurance Spec,81073.33
Materials Engineer,95976.33
Incident Mgmt Tr Ld,73925.33
Maint Eng Alyst Tr,67166.67
Opertns Resrch Anls,43380
Rural Delivery Spec,76901
Safety Comp Analyst,85592.67
Fleet Ops Spec,48074.67
Pse Auto Mechanic,34017
Supply Mgmt Analyst,75698
Bus Alliances Spec,73662
Lr Serv Ctr Tech,66295.67
Bldg Srvcs Spec,67581.33
Supv Hrssc Call Wk,63089.33
Misc Fabric And Leather Work,46414.67
Transportation Loss & Damage Claims Exam,67460
Electronics Technician,69671
Clothing Design,103389
Small Arms Repairing,59382
Copyright And Patent Student Trainee,31102.33
Bsa Sr (pmnt Tech),46510.67
Illustrator,59245
Cust Exp Pr Im Anl,60961.67
Cap & Perf Tech Plr,18694.67
Asset Mgmnt S C Spe,34149.33
Ntwk Perf Anlst Sr,89848.67
Train Quality,77862
Ntwrk Op Res Anlyst,91691.67
Supv Prod Oprns,91140
Mgr Ops Integration,7171.33
Cust Ctct Tools Spe,62875
Tech Support Supv,56918.33
Bus & Ind Analyst,92192.33
Ind Segmnt Rep,64744
Ops Ind Enginer(hq),65724.33
Bsa/aml Analyst,52229
P/m Telecomm,62184.67
Mgr Internat Sales,28623.33
Inj Comp Spec Tl,30939.33
Express Ml Tech,51966.33
Rtl Partner Spec,84454.67
Stamp Develmt Spec,53976.33
Stationary Engineer,59245
Incident Mgmt Coor,67575.33
Technical Srvcs Mgr,22224.33
Innov Cust Dev Spec,45325
Del Perform Spec Sr,40713.33
Cust Outreach Spec,32822
Economist,76870.67
Personnel Clk,57189.67
Sup Mail Recvry Ctr,66441
Prop Cntl Spc Pdc,64858.33
Purch/sm Spec Tl,27994
Natl Events Cord,27723
Mgr Bus Alnc Regnl,27146.67
Budget/cost Analyst,49291
Stamp Supp Clk,57987
Supv Sur Trns Ctr,67197.67
Job Class Analyst,65564.67
It Business Analyst,60653
Veh Opns Asst,57987
Mgr Hrssc Oprns,5599.67
Unix Sys Admin Sr,88241
Intl Operations Spc,8171.33
Mgr Govt Liaison,36255.67
Hr Gen Principl Hq,48392.33
Mail Solution Exprt,79960
Retail Mgmt Analyst,26783.33
Learn Pol Prog Sup,55076.33
Sr Mail Processor,57987
Strat Acct Anlyst,32794.67
Supv Hrssc Ops,84680.67
Purchasecard Coord,70155.67
Mtrls Custserv Rep,58756.33
Lease Mgmt Spec,77662.33
Community Planning Technician,86003
Art Specialist,44342.5
Aircraft Pneudraulic Systems Mechanic,49869
Tool And Equipment Repairing,64279.5
Wiper,32532
Store Working,37753.5
Oiling And Greasing,49921
Exhibits Making/modeling,47417
Sr Plant Mgr (4),32273
Mail&pkg Is Spec,2854.5
Mgr Contract Admin,35421.5
Comm Spec Trainee,56375
Leg Res Ana Trainee,55000
Cleaner,53778
Mgr Training Nced,52544
Req Spec,40556
Mgr Sur Tx Ctr Opr,69904.5
Supv Print Oprns,60586
Proj Mgr Tech Acqsn,82314
Mgr Ndc Operations,53553
Mgr Property Mgmt,29815.5
Supv Customer Srv,79409
Budget & Fin Anyst,4591.5
Tech Proj Spec,10546.5
Intl Ops Spec,75716
B2b Edi Map Spec,51874
Laborer Leader,57987
B2b Edi Comm Spec,4795
Envrn Progs Anlyst,12741.5
Dev Spec Trainee,55000
Pgm Mgr Bsn Mlr Sup,82822
Cust Exp Spec,74651.5
Sr Ltigatn Cnsl Nte,44629
Fld Rev Spec Tl,48991
Mgr Rec Ops,69876.5
Org Dev Analyst (en,32777
"Translator, Corspnd",59245
Ind Hygienist,42545.5
Int & Suppt Spec,75757
Pm Maj Mail Supt,84035
Administratve Judge,68700
Visibility Prg Spec,87350
Bldg Proj Spec,85857.5
Retail Serv Spec Sr,11032.5
Sr Clerk Pdc,55070
Eeo Info Supp Spec,66892.5
Data Conv Opr Pdc,55070
Tech Porject Report,68799.5
Prog Mgr Pay,14292.5
Cmptr Sy Opr Jr Pdc,56903
Executive Admin,52531
Acct Clk Ml Recov,57987
Ntwk Ops Rsrch Anls,43752.5
Tmo Program Lead,21225
Math Statistcn Tl,27784.5
Mgr Entr Data Whse,26769.5
Sr Cst Cntct Sl Spc,15226
Eeo Reg Plcy &comp,8283.5
Fin Analyst Trnee,56375
Data Alyst Trainee,55000
Digital Mkt Spec Sr,48037.5
Accntng Tech Train,56375
Envrn Comp/risk Spe,4795
Sign Paint/letterer,56791
Data Analyst Prin,14740
Dir Sales Area (2),33542
Rcd Ck-int Air Mail,57987
Spec Trans Clerk,59245
"Mgr, Info Sys Sec",60265.5
Mail & Pkg Is Anlst,78866
Tour Supt Mails (b),76453.5
Cust Exp Imprv Spec,85851
Eap Counselor,65782.5
Cntrct Sales Spec,47837
Lean Six Sig Trner,44095
Sys Admin Teradata,51082
Speechwriter,8517.5
Prop Invn Asst,49720.5
Pse Cust Laborer C,27136
Ohna (hrssc),70625.5
Apps Analyst,66053
Training Specialist,70020.5
Digital Mkt Spec,80188.5
Ntl Prep Prog Spec,51962
Emply In Modified,77996.5
Mat Comm/anal Spec,63281
Custodial Laborer D,53748
Security Spec,87669
Baking,44305.5
Educational Therapist,70877
Tile Setting,66387.5
First Officer,70833
Explosives Safety,89799
B2b Edi Proj Coord,92492.5
Mgr Cap Invstmnts,33544.5
Ergonomist,3000
Business Solutions,39575
Sys Analyst Ntwk,45924.5
Mgr Net Dist Ctr(1),40388
Mgr Prod Oper Br,50475.5
Ret Campgn Spec,85212.5
Reser Poly Leg Anly,80022.5
Bus Proj Lead (mft),10278
Div Spec Sr,91734.5
Integratn Prog Mgr,9884.5
Energy Spec,41249.5
Sls Su Spec Trne,57750
Stmp Prd Exhi Spec,86974
Retail Prod Spec,80927
Phil Clk,56791
Ntwkmonitoringanly,92573
Int & Suppt Coord,72074.5
Computer Sys Oprtor,58530.5
Stamp Stock Exam,50954.5
Rural Dlvy Spec Sr,8970.5
Comp Sy/prog Sr.edw,5830.5
Computer Sys Admin,73147
Bus Proc Spec Pr,47328
Sr Designer,55485.5
Strat Acct Anly Sr,13027
Financial Acct Spec,78581
Prog Mgr Benefits,9987
Slf Srv Pst Ctr Tch,57987
Compute Sys Admintr,10251.5
Operation/sys Engin,38603.5
Sr Fin Analyst,5354.5
Prog Train Sr,18168.5
Ed Psychologist,81327.5
Writer-editor(acs),66712
Strategic Pln Spec,88585.5
Storekeeper,56791
Labor Economist,47987.5
Wkpl Env Impv Spec,94903
University Recruit,61888
Cust Cntct Cnt Spe,39545
Comp Sys Anl Sr,84510.5
Graphic Designer,69529.5
Job Class Trainee,55000
Mgr Fac Implement,53113.5
Scanning Tech Spec,12921.5
Cs Ops Spec Sr,47534
Dist Mgr (metro),80721
Acct Ppr Supp Clk,56791
Del Strategy Spec,45003
Proj Mgr (d&cm),25000
Mgr Solutions Ctr,32927
Prog Mgr Mail & Pkg,20401.5
Prvcy & Rec Spec,55660.5
Mgr Isc (level 1),39723.5
Tech Proj Anlst,3079
Mgr Reg Bus Dev,77724.5
Class Sprt Spec,77346.5
Prog Eval Spec,13123
Equip Prog Ev Alyst,46304.5
Info Sys Sec Admin,77739
Dgtl Solution Spec,51255
Supv Admin Srvcs,68967.5
Mgr Env Compl Sust,12744
Materials Analyst,60424
Safety Aware Spec,5358
Quality Assurnc Spc,49808.5
Mgr Fac Reqs,48540
Packer Shipper,56222
Sales Prog Spec,67768
Supv Whse Dist Opr,65897.5
Sales Prog Spec Sr,43037.5
Exp Pkg Spec,93242.5
Mathematics Technician,48321
Roofing,77532
Oiler Diesel,56286
"Misc Motn Pic, Radio, Tv, & Snd Equip Op",52008
Miscellaneous Instrument Work,74777
Quality Inspection Student Trainee,23145
Metal Forging,56266
Meatcutting,59083
Miscellaneous Engine Overhaul,47604
Mgr Field Review,15453
Mgr Govt Mails,71819
Landlord Maint Pm,16000
Registrar,64263
Fld Liaison Commctn,9336
Tech Project Lead,4603
Mgr Asset Mgmnt F&a,2134
Writer,93000
Mgr Pricing,66397
Admin Support Spec,84126
Supv Mtrl Inquires,60886
Copywriter Research,6367
Mgr Field Commnctns,32333
Ntnl Mgr Mjr Acct,6906
Mgr Sol Architect,21243
St Wf Plan Spec Sr,2000
Mgr Lr Plcy & Progs,65627
Maint Supt Pln Spec,89063
Mgr Disability Prog,18226
Mgr Erp Sys Soltion,19503
Bdgt Sys Spec (tl),6982
Chf Csl Pro & I Pro,62576
Mgr Support Svcs,78817
Assoc Producer,72000
Mgr Mail Prep&pmnt,19610
Secy Usps Bd Of Gov,778
Sys/process Enginer,3767
Energy Engineer,2818
Mgr Wf Reposition,90979
Mgr Asset Plan R/m,20655
Oper Tech (it),53356
Mgmt Support Anlst,73965
Mgr Visibility Bus,28083
Del Planning Spec,72380
Acctnt (sfs),61452
Admin Supt Spec Hr,62336
Mgr Payment Tech,54500
Mgr Oper Apps,24864
Mgr Del & Mobi Tech,23602
Innv & Pro Dev Anlt,30800
Mgr Facilty Telecom,25751
Chief Hr Officer &,41870
Printing Coord,70007
Rtl Partner Spec Sr,9974
Pci Compl Prog Mgr,7663
Mgr Sol Dev Supp,45200
Tech Complianc Spec,83511
Eeo Comp & App Sp,97360
Mgr Memphis Ops,16669
Rev Assur Proc Spec,90251
Mgr Glb Dir Entry,79315
Product Perf Anlyst,89137
Mgr Software Dev,23602
Mgr Retail Ops Str,2419
Train Quality Tl,8760
Mgr Tech Mgt Office,52351
Direct/forms Spec,8610
Electrician,59245
Mgr Intl Acct Opns,1666
Mgr Stamp Prod,87400
Mgr Engy Initiativ,29887
Prog Resrc Coord,69850
Mgr White Hse Sect,73002
Mgr Public Affairs,44233
Fld Coor Qwl Proces,78418
Leg & Pol Resh Anly,69620
Mgr Safety/hrm,76289
Mng Cnsl Legal Str,81161
Mgr Nat Mat Cs Ctr,69830
Bus Analyst,73904
Rtl Exp Mkt Str Tl,85286
Mgr Glob Sys Mgmnt,31899
Coord Acctng Progs,10857
Mail Info Sys Arch,16046
Mgr Hq Facility Srv,32996
Telecom Srvs Analys,11631
Change Mgt Coord,80000
Energy Eng Trainee,68250
Admin Clk Exp Mail,58140
Chf Cnsl Nat Emp Lt,34526
Labor Relations Spe,91082
Rev & Comply Sup,8333
Addr Mgmt Sup Anlyt,93072
,71616
Mgr Ops Int & Sup,26185
Dir Mail Svcs,63456
Mgr Automtn Eqpmt,22413
Stf Secretary (pdc),57910
Mgr Prod Classif,60140
Mgr Surf Trans Cmc,19900
Mgr Hr (hq),49137
Mgrntwkvisbltysys,47692
Cust Cntct Opns Anl,834
Mgr Intl Proc Svcs,23424
Mgr Address Tech,20291
Media Mkt Spec Sr,86381
Supply Coord,64661
Mgr Brand & Policy,33053
Mgr Srfc Trns Opns,57248
Pricing Specialist,86368
Ops Application Spe,90847
Software Sys Eng,87303
Mgr Mail Innov,91199
Mgr Wfb Crt For Lea,24689
Cons Adv & Mgr Cust,47733
Exec Dir Intl Ops,73646
Mgr Rev & Ind Anlys,13101
Mgr Address Mgmt,51515
Mgr Digital Idnty,69849
Mgr Info Sys (sfs),91697
Prg Mgr Cust Ct Ctn,4030
Mgr Tech Anlys A&f,59170
Bus Sys Cntrct Anal,86490
Foia Specialist,55930
Mgr Dlvry Tech Prg,21225
Pm It Qa,90307
Change Mgt Spec Tl,49059
"Rtl Sls Ck, Ptl Str",55910
Vp New Prodt Innov,93496
Mgr Collective Barg,68396
Mgr Bus Mlr Suppt,7164
Dir Sales Area (1),60973
Mgr Fin Rel Mgmt,63360
Mgr Ops Sfs,85080
Chf Privacy Officer,35244
Dpmg/chief Gov Rels,54874
Org Chng Imp Spec,14137
Prog Mgr Wellness,89250
Mgr Sftware Proces,29887
Mgr Assetspayables,21238
Mgr Cap Per Prgms,3020
Gm Bus Dvlpmnt A/p,2290
Sys Comp Spec,89695
Advertising Spec,3020
Financial System An,80985
Info Sys Coord,82948
Comp Spec,78024
Mgr Mult-med Comm/e,26281
Mgr Sales Mailing,4206
Dist Clk Mach Mplsm,64459
Pgm Mgr Sox Bus Ml,17734
Mgr Ops Ind Eng,37200
Mgr Org Mgt,22413
Mgr Fin Bus Supt,13179
Sr Video Prod/dir,16607
Cash Mgmt Anlystsr,85477
Prog Suppt Spec,89345
Mgr Fac Con Alt Rpr,41838
Vp Cons & Ind Afrs,97657
Prg Mgr Safe Aware,90234
Med Prog Analyst,94841
Mgr Hrenablrelmgmt,52135
Mgr Rec,32770
Fin Valid Anlyst,66353
Phil Sales Prgm Anl,81297
Mgr Finance Hq,72460
Mgr New Solutions,21225
Mgr Ntwk Dev Suppt,27501
Mgr Oprtns Sfs,61625
Word Procsg Tech,51597
Mgr Us House Of Rep,66209
Public Rltns Rep,65628
Info Systems Spec,59465
Assoc Judicial Ofcr,166113
Supv Stamp Inv Sfs,75863
Mgr Field Accting,98963
Sales Spec Sm Bus,88977
Mgr Fac Portfolio,55113
Mgr Sales Ops Supt,21258
Mgr Ch Ctrl & Conf,17606
Sys Admin Microstr,91344
Mgr Bus Rel Mgmt,75521
Sr Recruiter,6687
Data Analyst Sr,98000
Mgr Pay & Perf Pr,51536
Info Sys Proc Spec,70082
Mgr Alnc Intg Supt,31565
Pricing Analyst,90262
Dir Entrprise Accts,63797
Mgr Cap & Perf Mgnt,28533
Mng Csl Proc & Prop,74792
Mgr Natl Eeo Serv,63360
Grp Ldr Adm Clk Pdc,56987
Deputy Gen Cnsl (hq,86885
Dir Intl Tran Ntwk,41801
Mgr Cost Attri,48583
Stf Cnsl/hearng Ofc,34205
Hr Anlyt Sp Trainee,57750
Supv Maint Ops Sup,69918
Mgr Svc Fld Opn Pm,24193
Human Factors Eng,6672
Asst Treas Fin/cash,57004
Mech Eng (fac),390
Prog Mgr Customer P,14138
Radio Freq Spec,98000
Overhaul Specialist,61328
Perfmc Mgmt Spec,4795
Mgr Stamp Prod Exh,98123
Judicial Officer,68700
Lrn Eval Trainee,55000
Prj Mgr Treas Strat,26998
Mail Flow Cntlr,61883
Mgr Prof Tech Svcs,43041
P/m Pst Rdo Freq,30752
Empl Mod Assign (es,76234
Mng Cnsl Empl & Lab,76126
Mgr Cust Prod Dist,72432
Prog Mgr Cust Polic,96159
Mgr Processing Oprn,42548
Cust Pmnt Tech Spec,80011
Cf Csl Bus Fin Law,44678
Brand Mgr Mail,34930
Sr Sys Engn-act Dir,99508
Exe Dir Intl Pstl,44364
Auto Inc Mgmt Spec,95640
Mgr Tech Integratn,6725
Hr Reporting Spec,99513
Mgr Hr Supt Svcs,9134
Vp Labor Relations,96617
Org Design Tl,80000
Mgr Project Intgrs,34511
Mgr Sales Shipping,8587
Admin Coordinator,54054
Purch & Sm Pol Spe,7419
Prg Mgr Fraud Risk,15453
Mgr Flat Mail Tech,12934
Intl Netwrk Oper,62271
"Mgr, Reqs & Qa",18880
Prog Mgr Sox Init,19420
Prog Mgr Svc Perf,4401
Career Develp Spec,95962
Comp Perf Spec Sr,90130
Mgr Corp Accntg,72000
Elearning Spec,70233
Receiving & Shippin,56791
Mgr Intl Acctng,24397
Prog Mgr (recruit),95000
Financ Intgrn Spec,89328
Schemes Examnr,57987
Mgr Ind Egmnt Strat,18049
Cptr Systems Admn,67508
Lrng Pol Prog Sup,82434
Mgr Sales Outreach,26560
Vp Sales,3700
Dir Operatns Integr,37037
Mgr Mnt Plng & Spt,60254
Div Spec Tl,86860
Supv Tort Claim Ex,77746
Mgr Org Effect,16179
Network Planning Sp,64027
Community Rltns Ast,71472
Dir Ship Prod Svcs,60606
Mgr It Perf Achvmnt,44538
Mgr Mail Rcvry Ctr,88147
Tech Bus Anlyst,96282
Org Dev Spec Engmnt,1958
Miltry Ml Ops Spec,12373
Mgr Actg Svc Mgmnt,10035
Mgr Innov Prod Dev,35293
Mgr Air Transp Oprs,48170
Mgr Mp Operations,88046
Mgr Analysis Reprt,99151
Mgr Imtc,73328
Asset Mgmnt B&c An,4214
Communications Spec,95750
Solu Devel Spec Tl,6096
Mgr Bnft Wellness,27000
Mgr Acct Help Desk,3346
Ex Dir Intl Str Bus,45319
Banking Specialist,860
Global Bus Trainee,57750
Mgr Budget Initiat,18656
Mgr Int'l/mil(njbmc,1689
Supv Acct Paper,61774
Mgr Comp Prod Pric,45927
Disab Prog Spec,62532
Market Research Spc,4795
Chf Counsel Com Lit,64955
Bsa/aml Tech Anlyt,2114
Mgr Perf/fld Ops Sp,72243
"Mgr, Int & Supt Coo",64607
Dir Asia Pac Rela,31603
Proc&sply Asst Pdc,60073
Dir Intrntnl Sales,72243
Vp Facilities,96617
Vp Ml Ent/pay Tech,90000
Equipment Handler/t,38251
Mgr Lbr Rltns Sys,29545
Facilities Reqmt Sp,94000
Infor Systems Coord,565
Plng & Sppt Spec,15453
Mgr Natl Events,20854
Chf Cnsl Fed Compl,58000
Comm Res Spec,67149
Sr Tacs Sys Spec,92347
Brand Mgr Shp,58000
Mgr Cont Impr,36244
Tech Proj Analyst,68516
Building Engineer,68874
Mgr Ship Info Sys,42352
Mgr Rural Delivery,45744
Mgr Vehicle Prog,58841
Mgr Business Eval,22759
Mgr Design/construc,29520
Mgr Acctg Services,64909
Mgr Veh Engineering,22413
Project Mgmt Spec,79585
Supply Data Anlyst,84694
Bsn Mlr Sup Anyl Sr,88261
Pse Mvo Holdy Term,40960
P/m Bus Sys Contrac,7386
Mgr Post Ofc Oprtns,6470
Sys Monitoring Eng,73529
Onlne Comm Spec,96387
Eap Administrator,12681
Mgr Ntwk Ops Eng,59408
Prog Mgr Barg Pay,13179
Mgr Hr Shrd Svcs Ct,34702
Rm Admin,87096
Mgr Bus Support,95643
Laborer Mtl Hndlng,54712
Psepostofficeclerk,27136
Energy Mgmt Spec,75073
Bsa/aml Cmplnc Ofc,15453
Mgr Ind Egmt & Outr,66750
Hr Report Spec Sr,14321
Chief Cnsl Labr Rel,59424
Mgr Financial Sys,99062
Mgr Corp Budget,28841
Occup Hlth Nurse,63541
Mgr Windows Systems,21702
Mgr Cst Engmt & Str,48377
Ad Specialist,61244
Mgr It Acq Support,41023
Mgr Technology Plnn,72041
Mgr Corp Fin Reptg,15000
Mgr Safety & Osha C,53524
Mgr Eeo Programs,11530
Bsa/aml Compl Anal,78430
Hr Gen Trainee,57750
Mgr Pricng/clas Sv,43381
Elevator Mech,59245
Clrk Recvry Ctr Ltr,56791
Mgr It Cust Suppt,16047
Mgr Corp Sust Init,13992
Mgr Sales Ops Plan,28149
Mgr Fld Perform,26540
Mgr Tech Acqui Mgt,27910
Dir Strat Accts,18776
Chf Csl Lgl Pol Leg,40639
Supv Cptr Maint Lab,82948
Rsrch Anl Pstl Hsty,76007
Prg Mgr Multich Cst,90977
Learn Eval Analyst,86178
Mgr Asc Eagan,48583
Vp Entrps Analytics,89335
Vp Retail & Cs Ops,90375
Dir Natl Busi Alli,51129
Mgr Inj Comp Fld,203
Mgr Mail Opr Eqp Pt,70939
Cont Imprvmnt Spec,17000
Hist Preserv Archt,12955
Mgr It Portfolio,84836
Mgr Asset Mgmt Ops,38311
Mgr Ship Mail Solu,20726
Vending Mach Mech,57987
Mgr Fin Bus Solu,42785
Admin Clk Pdc,56399
Retent Camp Spec,79480
Ret Prog Spec Tl,4378
Mgr Fld Labor Rel,33205
Pm Intelligent Mail,1821
