Alabama,AL,616977445867098112
Alaska,AK,616821615473631232
Arizona,AZ,616992424842383360
Arkansas,AR,616819663549300737
California,CA,616811429451005952
Colorado,CO,616992548570169346
Connecticut,CT,616812966709624836
Delaware,DE,616979907021774848
Florida,FL,616980098412081152
Georgia,GA,616980617494966272
Hawaii,HI,616992653599764480
Idaho,ID,616992784478814209
Illinois,IL,616980920608903168
Indiana,IN,616983991070105600
Iowa,IA,616986401238876164
Kansas,KS,616986713706098688
Kentucky,KY,616986942312448000
Louisiana,LA,616987324866502658
Maine,ME,616987527019405312
Maryland,MD,616987743277740033
Massachusetts,MA,616987861171224576
Michigan,MI,616987980234948608
Minnesota,MN,616988222762188800
Mississippi,MS,616988532196941825
Missouri,MO,616988649041825792
Montana,MT,616988823898169344
Nebraska,NE,616989013908570112
Nevada,NV,616989456575414272
New Hampshire,NH,616989576494718976
NewJersey,NJ,616989720367788032
NewMexico,NM,616989840308084736
NewYork,NY,616989955408142336
North Carolina,NC,616990059204608000
North Dakota,ND,616990252402626560
Ohio,OH,616990361572016128
Oklahoma,OK,616990464907063296
Oregon,OR,616990707673382912
Pennsylvania,PA,616990829480144896
Rhode Island,RI,616990968785563648
South Carolina,SC,616991079250923521
South Dakota,SD,616991194300719104
Tennessee,TN,616991334675709952
Texas,TX,616991442712555520
Utah,UT,616991550107729920
Vermont,VT,616991658777944064
Virginia,VA,616991768479928320
Washington,WA,616991880090394624
West Virginia,WV,616991988265709568
Wisconsin,WI,616992100425580549
Wyoming,WY,616992216955899907
